year,country,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1745,Lithuania,25.99925,-3.33375,1.7635
1745,Luxembourg,37.2623,2.9235,1.698
1745,Macedonia,37.1435,2.8575,2.399
1745,Moldova,31.89245,-0.05975,2.70775
1745,Monaco,36.8222,2.679,1.841
1745,Montenegro,37.14935,2.86075,2.2605
1745,Netherlands,38.1353,3.4085,1.47125
1745,Netherlands (Europe),37.26725,2.92625,1.42375
1745,Norway,17.73005,-7.92775,2.34525
1745,Poland,30.25085,-0.97175,1.7905
1745,Romania,32.92115,0.51175,2.48275
1745,Saint Pierre And Miquelon,25.49165,-3.61575,2.223
1745,San Marino,44.7125,7.0625,1.9345
1745,Serbia,36.2129,2.3405,2.44775
1745,Slovakia,31.35155,-0.36025,2.0275
1745,Slovenia,36.43565,2.46425,2.0665
1745,Spain,46.27715,7.93175,2.157
1745,Sweden,19.71815,-6.82325,1.96875
1745,Switzerland,32.79605,0.44225,1.92725
1745,Ukraine,29.084,-1.62,2.71725
1745,United Kingdom,39.2909,4.0505,1.56525
1745,United Kingdom (Europe),38.8715,3.8175,1.56825
1750,Albania,55.57623636,13.09790909,2.205090909
1750,Andorra,53.16685455,11.75936364,2.099
1750,Austria,44.57038182,6.983545455,1.998363636
1750,Belarus,44.04298182,6.690545455,2.743090909
1750,Belgium,50.61445455,10.34136364,1.667636364
1750,Bosnia And Herzegovina,51.85481818,11.03045455,2.321181818
1750,Bulgaria,51.836,11.02,2.536727273
1750,Croatia,53.62323636,12.01290909,2.216818182
1750,Czech Republic,47.22587273,8.458818182,1.888181818
1750,Denmark (Europe),47.83492727,8.797181818,1.505454545
1750,Estonia,42.44343636,5.801909091,2.351909091
1750,Europe,47.46314545,8.590636364,1.805909091
1750,Faroe Islands,44.89634545,7.164636364,1.837363636
1750,Finland,36.00745455,2.226363636,3.125181818
1750,France,55.9922,13.329,1.928636364
1750,France (Europe),51.95463636,11.08590909,1.972
1750,Germany,48.26954545,9.038636364,1.621181818
1750,Greece,59.33790909,15.18772727,2.085727273
1750,Guernsey,52.48727273,11.38181818,1.712545455
1750,Hungary,50.87741818,10.48745455,2.333
1750,Iceland,35.53061818,1.961454545,2.527454545
1750,Ireland,49.97954545,9.988636364,1.700545455
1750,Isle Of Man,49.78907273,9.882818182,1.685272727
1750,Italy,55.88763636,13.27090909,1.836272727
1750,Jersey,52.48727273,11.38181818,1.712545455
1750,Latvia,43.38156364,6.323090909,2.302454545
1750,Liechtenstein,41.72016364,5.400090909,2.037363636
1750,Lithuania,44.3408,6.856,2.260181818
1750,Luxembourg,50.02078182,10.01154545,1.741272727
1750,Macedonia,51.70656364,10.94809091,2.443727273
1750,Moldova,49.34103636,9.633909091,2.897090909
1750,Monaco,49.44134545,9.689636364,1.861363636
1750,Montenegro,51.44229091,10.80127273,2.308545455
1750,Netherlands,50.6642,10.369,1.553727273
1750,Netherlands (Europe),49.99050909,9.994727273,1.505727273
1750,Norway,33.87396364,1.041090909,2.519909091
1750,Poland,47.02067273,8.344818182,2.028636364
1750,Romania,48.95338182,9.418545455,2.610727273
1750,Saint Pierre And Miquelon,40.13289091,4.518272727,2.271454545
1750,San Marino,57.74261818,14.30145455,1.965272727
1750,Serbia,51.13825455,10.63236364,2.517909091
1750,Slovakia,46.91234545,8.284636364,2.171181818
1750,Slovenia,50.66272727,10.36818182,2.120636364
1750,Spain,57.41714545,14.12063636,2.168545455
1750,Sweden,38.33076364,3.517090909,2.335636364
1750,Switzerland,45.92856364,7.738090909,1.961909091
1750,Ukraine,47.10347273,8.390818182,2.964818182
1750,United Kingdom,48.45952727,9.144181818,1.657181818
1750,United Kingdom (Europe),48.839,9.355,1.662454545
1751,Albania,56.43185,13.57325,2.210375
1751,Andorra,53.9546,12.197,2.1005
1751,Austria,44.933,7.185,1.995
1751,Belarus,44.0411,6.6895,2.688625
1751,Belgium,50.263925,10.146625,1.65025
1751,Bosnia And Herzegovina,52.554875,11.419375,2.3295
1751,Bulgaria,52.651175,11.472875,2.53875
1751,Croatia,54.295925,12.386625,2.225
1751,Czech Republic,47.386625,8.548125,1.866
1751,Denmark (Europe),46.7015,8.1675,1.3605
1751,Estonia,41.83385,5.46325,2.177375
1751,Europe,47.631875,8.684375,1.74725
1751,Faroe Islands,43.958975,6.643875,1.69625
1751,Finland,35.7494,2.083,2.93175
1751,France,56.17085,13.42825,1.927125
1751,France (Europe),52.216025,11.231125,1.969875
1751,Germany,48.08165,8.93425,1.5825
1751,Greece,60.235475,15.686375,2.086625
1751,Guernsey,51.894725,11.052625,1.698125
1751,Hungary,51.477575,10.820875,2.332875
1751,Iceland,35.640275,2.022375,2.451125
1751,Ireland,49.636625,9.798125,1.64675
1751,Isle Of Man,48.78455,9.32475,1.617
1751,Italy,56.5079,13.6155,1.843125
1751,Jersey,51.894725,11.052625,1.698125
1751,Latvia,42.93275,6.07375,2.164
1751,Liechtenstein,41.9792,5.544,2.039
1751,Lithuania,43.879325,6.599625,2.155
1751,Luxembourg,49.813025,9.896125,1.7275
1751,Macedonia,52.754,11.53,2.448875
1751,Moldova,50.027,10.015,2.892375
1751,Monaco,50.218925,10.121625,1.867875
1751,Montenegro,52.363175,11.312875,2.316125
1751,Netherlands,49.927325,9.959625,1.48175
1751,Netherlands (Europe),49.24175,9.57875,1.42925
1751,Norway,33.39635,0.77575,2.335125
1751,Poland,46.910525,8.283625,1.974625
1751,Romania,49.628975,9.793875,2.61025
1751,Saint Pierre And Miquelon,40.8047,4.8915,2.2405
1751,San Marino,57.98795,14.43775,1.97675
1751,Serbia,51.966725,11.092625,2.524625
1751,Slovakia,47.183225,8.435125,2.1605
1751,Slovenia,51.257075,10.698375,2.128125
1751,Spain,58.478675,14.710375,2.16475
1751,Sweden,37.585175,3.102875,2.08675
1751,Switzerland,46.26275,7.92375,1.964625
1751,Ukraine,47.677325,8.709625,2.95425
1751,United Kingdom,47.897375,8.831875,1.59225
1751,United Kingdom (Europe),48.24725,9.02625,1.59275
1752,Albania,46.8317,8.239833333,2.293666667
1752,Andorra,45.3536,7.418666667,2.208666667
1752,Austria,35.2787,1.8215,2.241333333
1752,Belarus,32.9699,0.538833333,2.499333333
1752,Belgium,42.9092,6.060666667,1.915833333
1752,Bosnia And Herzegovina,42.6656,5.925333333,2.462166667
1752,Bulgaria,42.1313,5.6285,2.585333333
1752,Croatia,44.1677,6.759833333,2.383
1752,Czech Republic,37.8215,3.234166667,2.198666667
1752,Denmark (Europe),39.8909,4.383833333,1.839166667
1752,Estonia,31.7186,-0.156333333,1.8635
1752,Europe,38.1122,3.395666667,1.900333333
1752,Faroe Islands,41.4941,5.2745,1.9215
1752,Finland,24.0857,-4.396833333,2.726166667
1752,France,49.7558,9.864333333,2.0365
1752,France (Europe),44.3369,6.853833333,2.127333333
1752,Germany,39.6326,4.240333333,1.9905
1752,Greece,50.7461,10.4145,2.149
1752,Guernsey,48.2993,9.055166667,1.842333333
1752,Hungary,40.6148,4.786,2.489666667
1752,Iceland,29.0207,-1.655166667,2.565
1752,Ireland,44.9669,7.203833333,1.787833333
1752,Isle Of Man,45.9665,7.759166667,1.805666667
1752,Italy,47.7503,8.750166667,1.969
1752,Jersey,48.2993,9.055166667,1.842333333
1752,Latvia,32.5427,0.3015,1.991
1752,Liechtenstein,32.9489,0.527166667,2.293333333
1752,Lithuania,33.9899,1.1055,2.122333333
1752,Luxembourg,41.987,5.548333333,2.001833333
1752,Macedonia,41.7752,5.430666667,2.526666667
1752,Moldova,38.0504,3.361333333,2.865
1752,Monaco,40.631,4.795,2.011833333
1752,Montenegro,41.8481,5.471166667,2.413666667
1752,Netherlands,43.5773,6.431833333,1.82
1752,Netherlands (Europe),42.7775,5.9875,1.792333333
1752,Norway,24.215,-4.325,2.583
1752,Poland,37.1384,2.854666667,2.235833333
1752,Romania,38.6039,3.668833333,2.656666667
1752,Saint Pierre And Miquelon,31.2752,-0.402666667,2.282
1752,San Marino,50.537,10.29833333,2.132333333
1752,Serbia,41.1293,5.071833333,2.6255
1752,Slovakia,37.3076,2.948666667,2.349166667
1752,Slovenia,41.2619,5.1455,2.317333333
1752,Spain,49.3181,9.621166667,2.225833333
1752,Sweden,27.3143,-2.603166667,2.376166667
1752,Switzerland,37.2494,2.916333333,2.179833333
1752,Ukraine,35.5727,1.984833333,2.851666667
1752,United Kingdom,43.2593,6.255166667,1.773833333
1752,United Kingdom (Europe),43.1498,6.194333333,1.793833333
1753,Albania,54.6026,12.557,3.230583333
1753,Andorra,52.2221,11.2345,3.634916667
1753,Austria,43.05005,6.138916667,3.666083333
1753,Belarus,42.17315,5.65175,3.958833333
1753,Belgium,49.02275,9.457083333,4.168333333
1753,Bosnia And Herzegovina,50.65805,10.36558333,3.466
1753,Bulgaria,50.7191,10.3995,3.425
1753,Croatia,52.3175,11.2875,3.499166667
1753,Czech Republic,45.49085,7.494916667,3.80575
1753,Denmark (Europe),45.6224,7.568,4.391333333
1753,Estonia,40.3853,4.6585,4.1935
1753,Europe,45.92525,7.73625,3.518833333
1753,Faroe Islands,43.69925,6.499583333,3.644333333
1753,Finland,34.0181,1.121166667,4.511166667
1753,France,54.9893,12.77183333,3.722416667
1753,France (Europe),50.774,10.43,3.920916667
1753,Germany,46.4525,8.029166667,4.021333333
1753,Greece,58.4837,14.71316667,3.041083333
1753,Guernsey,51.6668,10.926,3.84525
1753,Hungary,49.31375,9.61875,3.629083333
1753,Iceland,34.3679,1.3155,3.660833333
1753,Ireland,48.86435,9.369083333,3.596083333
1753,Isle Of Man,48.75125,9.30625,3.852833333
1753,Italy,54.92735,12.73741667,3.311
1753,Jersey,51.6668,10.926,3.84525
1753,Latvia,41.2436,5.135333333,4.124333333
1753,Liechtenstein,40.3025,4.6125,3.7445
1753,Lithuania,42.2765,5.709166667,4.065416667
1753,Luxembourg,48.44795,9.13775,4.134833333
1753,Macedonia,50.56025,10.31125,3.368583333
1753,Malta,65.2538,18.47433333,2.87825
1753,Moldova,47.8631,8.812833333,3.759416667
1753,Monaco,48.31805,9.065583333,3.587166667
1753,Montenegro,50.2799,10.1555,3.358833333
1753,Netherlands,48.99215,9.440083333,4.23625
1753,Netherlands (Europe),48.28685,9.04825,4.255083333
1753,Norway,31.9031,-0.053833333,4.249583333
1753,Poland,45.0731,7.262833333,3.940083333
1753,Portugal,58.4282,14.68233333,3.30525
1753,Romania,47.5796,8.655333333,3.595583333
1753,Saint Pierre And Miquelon,39.5885,4.215833333,3.281416667
1753,San Marino,56.8691,13.81616667,3.394583333
1753,Serbia,49.8383,9.910166667,3.52425
1753,Slovakia,45.3122,7.395666667,3.689666667
1753,Slovenia,49.3001,9.611166667,3.539333333
1753,Spain,56.53055,13.62808333,3.414833333
1753,Sweden,35.95085,2.194916667,4.50875
1753,Switzerland,44.591,6.995,3.824416667
1753,Tunisia,67.93025,19.96125,3.046166667
1753,Ukraine,45.54515,7.525083333,3.831166667
1753,United Kingdom,47.16695,8.426083333,3.807083333
1753,United Kingdom (Europe),47.46755,8.593083333,3.90075
1754,Albania,54.5867,12.54816667,3.259083333
1754,Andorra,52.0091,11.11616667,3.495333333
1754,Austria,42.6332,5.907333333,3.5755
1754,Belarus,42.24725,5.692916667,3.317083333
1754,Belgium,48.44825,9.137916667,3.634166667
1754,Bosnia And Herzegovina,50.4539,10.25216667,3.495
1754,Bulgaria,50.82215,10.45675,3.312666667
1754,Croatia,52.03445,11.13025,3.523666667
1754,Czech Republic,45.11375,7.285416667,3.52775
1754,Denmark (Europe),45.37955,7.433083333,3.6785
1754,Estonia,40.37705,4.653916667,3.193833333
1754,Europe,45.8732,7.707333333,3.135
1754,Faroe Islands,43.91915,6.62175,3.10225
1754,Finland,34.23905,1.243916667,3.717083333
1754,France,54.79925,12.66625,3.395
1754,France (Europe),50.42405,10.23558333,3.579166667
1754,Germany,45.9677,7.759833333,3.598833333
1754,Greece,58.6307,14.79483333,3.02025
1754,Guernsey,51.40685,10.78158333,3.356333333
1754,Hungary,49.10255,9.501416667,3.488833333
1754,Iceland,34.80425,1.557916667,3.312
1754,Ireland,48.84155,9.356416667,3.09125
1754,Isle Of Man,48.5762,9.209,3.2985
1754,Italy,54.61385,12.56325,3.461666667
1754,Jersey,51.40685,10.78158333,3.356333333
1754,Latvia,41.22215,5.123416667,3.227416667
1754,Liechtenstein,39.788,4.326666667,3.673416667
1754,Lithuania,42.2189,5.677166667,3.295
1754,Luxembourg,47.88965,8.827583333,3.639333333
1754,Macedonia,50.579,10.32166667,3.353666667
1754,Malta,65.32295,18.51275,2.972166667
1754,Moldova,47.9978,8.887666667,3.47075
1754,Monaco,47.86295,8.81275,3.6965
1754,Montenegro,50.19425,10.10791667,3.37775
1754,Netherlands,48.4013,9.111833333,3.648333333
1754,Netherlands (Europe),47.67065,8.705916667,3.65975
1754,Norway,32.1515,0.084166667,3.63225
1754,Poland,44.8664,7.148,3.444333333
1754,Portugal,58.61825,14.78791667,3.042083333
1754,Romania,47.6057,8.669833333,3.40525
1754,Saint Pierre And Miquelon,40.3124,4.618,2.844444444
1754,San Marino,56.49665,13.60925,3.549833333
1754,Serbia,49.75295,9.86275,3.47825
1754,Slovakia,45.0845,7.269166667,3.445166667
1754,Slovenia,48.93215,9.40675,3.571333333
1754,Spain,56.57915,13.65508333,3.202833333
1754,Sweden,36.0938,2.274333333,3.717666667
1754,Switzerland,44.0807,6.7115,3.711583333
1754,Tunisia,68.069,20.03833333,3.072083333
1754,Ukraine,45.74345,7.63525,3.444083333
1754,United Kingdom,47.0099,8.338833333,3.258916667
1754,United Kingdom (Europe),47.2616,8.478666667,3.332416667
1755,Albania,54.18065,12.32258333,4.07675
1755,Andorra,51.452,10.80666667,4.54775
1755,Austria,42.20945,5.671916667,4.806416667
1755,Belarus,42.0443,5.580166667,4.253333333
1755,Belgium,47.99405,8.885583333,5.086333333
1755,Bosnia And Herzegovina,50.06825,10.03791667,4.45875
1755,Bulgaria,50.4395,10.24416667,4.067333333
1755,Croatia,51.6461,10.9145,4.566666667
1755,Czech Republic,44.7131,7.062833333,4.824
1755,Denmark (Europe),45.0002,7.222333333,4.954333333
1755,Estonia,40.19675,4.55375,4.22225
1755,Europe,45.42605,7.458916667,4.169583333
1755,Faroe Islands,43.2818,6.267666667,3.953083333
1755,Finland,33.85985,1.03325,4.461
1755,France,54.2183,12.3435,4.511833333
1755,France (Europe),49.83935,9.91075,4.8205
1755,Germany,45.536,7.52,5.015416667
1755,Greece,58.1996,14.55533333,3.738833333
1755,Guernsey,50.8508,10.47266667,4.599666667
1755,Hungary,48.7382,9.299,4.545083333
1755,Iceland,34.16405,1.20225,3.884
1755,Ireland,48.2894,9.049666667,4.168833333
1755,Isle Of Man,48.06425,8.924583333,4.479166667
1755,Italy,54.1937,12.32983333,4.48475
1755,Jersey,50.8508,10.47266667,4.599666667
1755,Latvia,41.0066,5.003666667,4.280833333
1755,Liechtenstein,39.296,4.053333333,4.971
1755,Lithuania,41.97335,5.54075,4.371
1755,Luxembourg,47.38205,8.545583333,5.090333333
1755,Macedonia,50.17895,10.09941667,4.138666667
1755,Malta,64.85855,18.25475,3.737833333
1755,Moldova,47.68445,8.713583333,4.239666667
1755,Monaco,47.3981,8.5545,4.831833333
1755,Montenegro,49.80215,9.890083333,4.248166667
1755,Netherlands,48.06455,8.92475,5.0905
1755,Netherlands (Europe),47.339,8.521666667,5.124916667
1755,Norway,31.51055,-0.271916667,4.401416667
1755,Poland,44.5394,6.966333333,4.640333333
1755,Portugal,58.06205,14.47891667,3.835916667
1755,Romania,47.26055,8.478083333,4.252083333
1755,Saint Pierre And Miquelon,35.47058,1.9281,3.5004
1755,San Marino,56.1056,13.392,4.615833333
1755,Serbia,49.37405,9.65225,4.360166667
1755,Slovakia,44.73035,7.072416667,4.576
1755,Slovenia,48.5339,9.1855,4.69
1755,Spain,56.0204,13.34466667,4.08675
1755,Sweden,35.4569,1.9205,4.627416667
1755,Switzerland,43.5191,6.3995,5.0125
1755,Tunisia,67.57625,19.76458333,3.785
1755,Ukraine,45.46085,7.47825,4.18875
1755,United Kingdom,46.4987,8.054833333,4.423916667
1755,United Kingdom (Europe),46.75385,8.196583333,4.539833333
1756,Albania,55.44665,13.02591667,3.614083333
1756,Andorra,51.9761,11.09783333,3.965333333
1756,Austria,43.63445,6.463583333,4.492666667
1756,Belarus,43.33535,6.297416667,4.601666667
1756,Belgium,48.9164,9.398,5.08475
1756,Bosnia And Herzegovina,51.386,10.77,3.979583333
1756,Bulgaria,51.82205,11.01225,3.837916667
1756,Croatia,52.97165,11.65091667,4.084666667
1756,Czech Republic,46.5434,8.079666667,4.749833333
1756,Denmark (Europe),46.4048,8.002666667,5.09325
1756,Estonia,41.06855,5.038083333,4.827166667
1756,Europe,46.51025,8.06125,4.129833333
1756,Faroe Islands,44.2001,6.777833333,4.051083333
1756,Finland,34.56425,1.424583333,4.895833333
1756,France,54.8798,12.711,4.238833333
1756,France (Europe),50.40905,10.22725,4.498583333
1756,Germany,47.13575,8.40875,5.016166667
1756,Greece,59.462,15.25666667,3.360333333
1756,Guernsey,51.497,10.83166667,4.462166667
1756,Hungary,50.2961,10.1645,4.31575
1756,Iceland,35.129,1.738333333,3.916333333
1756,Ireland,49.10255,9.501416667,4.14575
1756,Isle Of Man,48.90965,9.39425,4.482666667
1756,Italy,55.12775,12.84875,3.732833333
1756,Jersey,51.497,10.83166667,4.462166667
1756,Latvia,42.0743,5.596833333,4.794
1756,Liechtenstein,40.34885,4.63825,4.610833333
1756,Lithuania,43.27355,6.263083333,4.776916667
1756,Luxembourg,48.29525,9.052916667,5.0805
1756,Macedonia,51.49295,10.82941667,3.75275
1756,Malta,65.83025,18.79458333,3.111166667
1756,Moldova,49.12055,9.511416667,4.258416667
1756,Monaco,47.9534,8.863,3.944416667
1756,Montenegro,51.10895,10.61608333,3.79875
1756,Netherlands,49.2236,9.568666667,5.14025
1756,Netherlands (Europe),48.49985,9.166583333,5.180666667
1756,Norway,32.35055,0.19475,4.594416667
1756,Poland,46.35755,7.976416667,4.782833333
1756,Portugal,58.7018,14.83433333,3.594083333
1756,Romania,48.7325,9.295833333,4.124916667
1756,Saint Pierre And Miquelon,41.5788,5.321555556,3.087666667
1756,San Marino,57.19085,13.99491667,3.899
1756,Serbia,50.7713,10.4285,4.015416667
1756,Slovakia,46.4228,8.012666667,4.47375
1756,Slovenia,49.83185,9.906583333,4.192583333
1756,Spain,56.6162,13.67566667,3.713083333
1756,Sweden,36.3074,2.393,4.898916667
1756,Switzerland,44.2208,6.789333333,4.613916667
1756,Tunisia,68.41235,20.22908333,3.229166667
1756,Ukraine,46.8239,8.2355,4.326333333
1756,United Kingdom,47.36495,8.536083333,4.428333333
1756,United Kingdom (Europe),47.60525,8.669583333,4.546916667
1757,Albania,54.9146,12.73033333,4.716
1757,Andorra,51.56285,10.86825,5.27075
1757,Austria,42.9749,6.097166667,6.064666667
1757,Belarus,43.343,6.301666667,5.76225
1757,Belgium,48.59855,9.221416667,6.653833333
1757,Bosnia And Herzegovina,50.79035,10.43908333,5.285333333
1757,Bulgaria,51.3677,10.75983333,4.78775
1757,Croatia,52.35215,11.30675,5.490083333
1757,Czech Republic,45.85415,7.69675,6.32425
1757,Denmark (Europe),46.4684,8.038,6.745416667
1757,Estonia,41.4884,5.271333333,6.23075
1757,Europe,46.3232,7.957333333,5.430166667
1757,Faroe Islands,44.3585,6.865833333,5.2065
1757,Finland,35.0633,1.701833333,6.082583333
1757,France,54.53885,12.52158333,5.494666667
1757,France (Europe),50.02805,10.01558333,5.9135
1757,Germany,46.59545,8.108583333,6.685416667
1757,Greece,58.9976,14.99866667,4.29975
1757,Guernsey,51.26315,10.70175,5.7405
1757,Hungary,49.71395,9.841083333,5.658333333
1757,Iceland,35.1929,1.773833333,4.69125
1757,Ireland,49.0331,9.462833333,5.267916667
1757,Isle Of Man,48.85685,9.364916667,5.7475
1757,Italy,54.55865,12.53258333,5.194916667
1757,Jersey,51.26315,10.70175,5.7405
1757,Latvia,42.3344,5.741333333,6.205666667
1757,Liechtenstein,39.73265,4.295916667,6.248916667
1757,Lithuania,43.3433,6.301833333,6.194
1757,Luxembourg,47.91695,8.84275,6.678666667
1757,Macedonia,50.9777,10.54316667,4.793166667
1757,Malta,65.36645,18.53691667,4.185166667
1757,Moldova,48.80285,9.334916667,5.188666667
1757,Monaco,47.43695,8.576083333,5.568833333
1757,Montenegro,50.552,10.30666667,4.970416667
1757,Netherlands,48.98525,9.43625,6.713
1757,Netherlands (Europe),48.2588,9.032666667,6.77925
1757,Norway,32.68445,0.38025,5.882416667
1757,Poland,45.9428,7.746,6.269833333
1757,Portugal,58.4786,14.71033333,4.436583333
1757,Romania,48.29105,9.050583333,5.1775
1757,Saint Pierre And Miquelon,38.76227273,3.756818182,3.470545455
1757,San Marino,56.5679,13.64883333,5.416
1757,Serbia,50.22395,10.12441667,5.175166667
1757,Slovakia,45.85055,7.69475,5.873083333
1757,Slovenia,49.1888,9.549333333,5.697333333
1757,Spain,56.32115,13.51175,4.711166667
1757,Sweden,36.7307,2.628166667,6.457083333
1757,Switzerland,43.66685,6.481583333,6.232333333
1757,Tunisia,68.03135,20.01741667,4.19375
1757,Ukraine,46.6322,8.129,5.217916667
1757,United Kingdom,47.30285,8.501583333,5.686666667
1757,United Kingdom (Europe),47.549,8.638333333,5.851416667
1758,Albania,52.5998,11.44433333,4.947666667
1758,Andorra,50.2604,10.14466667,5.568
1758,Austria,41.65415,5.363416667,6.308416667
1758,Bahamas,76.3708,24.65044444,3.787333333
1758,Belarus,39.8186,4.343666667,5.77175
1758,Belgium,48.0458,8.914333333,7.11675
1758,Bosnia And Herzegovina,48.9116,9.395333333,5.51275
1758,Bulgaria,48.55835,9.199083333,4.977333333
1758,Croatia,50.6846,10.38033333,5.718583333
1758,Czech Republic,44.23715,6.798416667,6.50375
1758,Denmark (Europe),44.80805,7.115583333,7.006833333
1758,Estonia,37.83125,3.239583333,6.140333333
1758,Europe,44.0435,6.690833333,5.62625
1758,Faroe Islands,42.05105,5.583916667,5.392
1758,Finland,31.39145,-0.338083333,6.02075
1758,France,53.1272,11.73733333,5.83525
1758,France (Europe),49.0748,9.486,6.27225
1758,Germany,45.49295,7.496083333,6.979833333
1758,Greece,56.28425,13.49125,4.534333333
1758,Guernsey,50.123,10.06833333,6.11575
1758,Hungary,47.6387,8.688166667,5.846166667
1758,Iceland,32.2712,0.150666667,4.84425
1758,Ireland,47.31245,8.506916667,5.564583333
1758,Isle Of Man,47.49365,8.607583333,6.118333333
1758,Italy,53.2259,11.79216667,5.459
1758,Jersey,50.123,10.06833333,6.11575
1758,Latvia,38.91935,3.844083333,6.168666667
1758,Liechtenstein,38.88995,3.82775,6.577916667
1758,Lithuania,40.1912,4.550666667,6.20725
1758,Luxembourg,47.3216,8.512,7.10725
1758,Macedonia,48.5168,9.176,5.014916667
1758,Malta,63.0971,17.27616667,4.441666667
1758,Moldova,45.5924,7.551333333,5.312666667
1758,Monaco,46.6718,8.151,5.853083333
1758,Montenegro,48.37415,9.09675,5.192333333
1758,Netherlands,48.35105,9.083916667,7.2075
1758,Netherlands (Europe),47.6903,8.716833333,7.281666667
1758,Norway,30.0119,-1.1045,5.969416667
1758,Poland,43.57235,6.429083333,6.376166667
1758,Portugal,56.0414,13.35633333,4.668916667
1758,Romania,45.5123,7.506833333,5.339166667
1758,Saint Pierre And Miquelon,37.14725,2.859583333,4.208166667
1758,San Marino,55.29215,12.94008333,5.666916667
1758,Serbia,47.94335,8.857416667,5.383916667
1758,Slovakia,43.7153,6.5085,6.034
1758,Slovenia,47.77955,8.766416667,5.936166667
1758,Spain,54.30005,12.38891667,4.9725
1758,Sweden,34.16855,1.20475,6.47375
1758,Switzerland,42.97475,6.097083333,6.588583333
1758,Tunisia,65.6336,18.68533333,4.44075
1758,Ukraine,43.1258,6.181,5.298333333
1758,United Kingdom,45.8567,7.698166667,6.05025
1758,United Kingdom (Europe),46.247,7.915,6.227083333
1759,Albania,54.48725,12.49291667,4.7145
1759,Andorra,52.33955,11.29975,5.279583333
